Policyholder ID,Payment Source,Payment Method,Payment Due Date,Payment Amount,Payment Status,Late Payment Fee,Total Outstanding Amount
1001,Policyholder,Credit Card,3/1/2025,$500.00 ,On-time,$0.00 ,"$5,000.00 "
1002,Agent,ACH,4/15/2025,$480.00 ,Late,$15.00 ,"$2,880.00 "
1003,Policyholder,ACH,5/20/2025,$490.00 ,On-time,$0.00 ,"$1,960.00 "
1004,Agent,ACH,3/10/2025,$520.00 ,Late,$10.00 ,"$3,640.00 "
1005,Policyholder,Check,4/28/2025,$460.00 ,Late,$20.00 ,"$2,300.00 "
1006,Agent,ACH,5/15/2025,$450.00 ,On-time,$0.00 ,"$1,350.00 "
1007,Policyholder,ACH,3/18/2025,$530.00 ,Late,$25.00 ,"$4,240.00 "
1008,Agent,Check,4/22/2025,$480.00 ,Late,$15.00 ,"$3,360.00 "
1009,Policyholder,ACH,5/10/2025,$470.00 ,On-time,$0.00 ,"$1,410.00 "
1010,Policyholder,Check,3/25/2025,$510.00 ,Late,$10.00 ,"$3,060.00 "
1011,Agent,Credit Card,4/5/2025,$440.00 ,On-time,$0.00 ,"$1,760.00 "
1012,Agent,Check,5/2/2025,$460.00 ,Late,$5.00 ,"$2,300.00 "
1013,Policyholder,ACH,3/30/2025,$490.00 ,On-time,$0.00 ,"$4,900.00 "
1014,Policyholder,Credit Card,4/12/2025,$470.00 ,Late,$20.00 ,"$3,290.00 "
1015,Policyholder,ACH,5/18/2025,$500.00 ,On-time,$0.00 ,"$4,500.00 "
1016,Agent,ACH,3/15/2025,$520.00 ,Late,$15.00 ,"$3,120.00 "
1017,Policyholder,Credit Card,4/25/2025,$480.00 ,Late,$10.00 ,"$2,400.00 "
1018,Policyholder,Check,5/12/2025,$470.00 ,On-time,$0.00 ,"$1,410.00 "
1019,Policyholder,ACH,3/20/2025,$450.00 ,Late,$20.00 ,"$2,700.00 "
1020,Agent,ACH,4/8/2025,$490.00 ,Late,$10.00 ,"$3,430.00 "
1021,Agent,Credit Card,5/5/2025,$500.00 ,On-time,$0.00 ,"$1,500.00 "
1022,Policyholder,Credit Card,3/28/2025,$470.00 ,Late,$15.00 ,"$2,350.00 "
1023,Policyholder,Check,4/14/2025,$460.00 ,Late,$25.00 ,"$3,220.00 "
1024,Policyholder,Check,5/25/2025,$480.00 ,On-time,$0.00 ,"$1,440.00 "
1025,Agent,ACH,3/12/2025,$500.00 ,Late,$15.00 ,"$5,000.00 "
1026,Policyholder,Credit Card,4/20/2025,$510.00 ,Late,$10.00 ,"$2,550.00 "
1027,Policyholder,Credit Card,5/17/2025,$530.00 ,On-time,$0.00 ,"$1,590.00 "
1028,Agent,Credit Card,3/23/2025,$460.00 ,Late,$20.00 ,"$2,760.00 "
1029,Policyholder,ACH,4/10/2025,$470.00 ,On-time,$0.00 ,"$1,410.00 "
1030,Policyholder,Credit Card,5/8/2025,$520.00 ,Late,$15.00 ,"$2,600.00 "
1031,Policyholder,Check,3/14/2025,$450.00 ,On-time,$0.00 ,"$4,050.00 "
1032,Agent,Check,4/18/2025,$480.00 ,Late,$10.00 ,"$1,920.00 "
1033,Agent,Credit Card,5/14/2025,$510.00 ,On-time,$0.00 ,"$1,530.00 "
1034,Agent,ACH,3/22/2025,$500.00 ,Late,$20.00 ,"$1,500.00 "
1035,Policyholder,ACH,4/24/2025,$470.00 ,On-time,$0.00 ,"$3,290.00 "
1036,Policyholder,Credit Card,5/11/2025,$450.00 ,Late,$15.00 ,"$2,700.00 "
1037,Policyholder,Credit Card,3/21/2025,$480.00 ,Late,$10.00 ,"$1,440.00 "
1038,Policyholder,Credit Card,4/13/2025,$490.00 ,On-time,$0.00 ,"$2,450.00 "
1039,Agent,ACH,5/6/2025,$520.00 ,Late,$10.00 ,"$3,640.00 "
1040,Agent,ACH,3/31/2025,$500.00 ,Late,$25.00 ,"$2,000.00 "
1041,Policyholder,Credit Card,4/3/2025,$450.00 ,On-time,$0.00 ,"$1,350.00 "
1042,Agent,Credit Card,5/18/2025,$460.00 ,Late,$10.00 ,"$2,760.00 "
1043,Policyholder,ACH,3/19/2025,$490.00 ,On-time,$0.00 ,"$1,470.00 "
1044,Policyholder,ACH,4/21/2025,$510.00 ,Late,$15.00 ,"$5,100.00 "
1045,Agent,Credit Card,3/14/2025,$450.00 ,On-time,$0.00 ,"$1,800.00 "
1046,Agent,ACH,4/18/2025,$480.00 ,Late,$10.00 ,"$1,440.00 "
1047,Policyholder,ACH,5/14/2025,$490.00 ,On-time,$0.00 ,"$1,470.00 "
1048,Agent,Credit Card,3/22/2025,$520.00 ,Late,$20.00 ,"$3,120.00 "
1049,Agent,Credit Card,4/24/2025,$500.00 ,On-time,$0.00 ,"$1,500.00 "
1050,Policyholder,ACH,5/20/2025,$490.00 ,On-time,$0.00 ,"$1,960.00 "
